iter	Passed	Remaining
0	2	2536
1	5	2642
2	10	3394
3	13	3473
4	17	3578
5	21	3497
6	26	3774
7	31	3924
8	37	4100
9	42	4235
10	47	4258
11	52	4347
12	76	5791
13	87	6133
14	94	6200
15	97	6019
16	101	5891
17	110	6016
18	131	6805
19	154	7581
20	172	8045
21	175	7805
22	221	9390
23	228	9287
24	231	9019
25	233	8765
26	235	8492
27	237	8231
28	239	8002
29	241	7796
30	242	7591
31	245	7422
32	247	7266
33	251	7135
34	253	6991
35	256	6872
36	259	6754
37	264	6692
38	266	6573
39	268	6452
40	271	6353
41	273	6246
42	276	6142
43	278	6050
44	280	5951
45	282	5864
46	285	5782
47	287	5697
48	289	5621
49	291	5546
50	295	5505
51	302	5508
52	304	5445
53	307	5388
54	312	5376
55	316	5342
56	327	5411
57	337	5478
58	339	5422
59	348	5467
60	361	5568
61	380	5763
62	394	5861
63	413	6049
64	426	6138
65	442	6257
66	465	6487
67	472	6475
68	477	6449
69	480	6379
70	483	6332
71	486	6265
72	489	6219
73	492	6166
74	494	6103
75	497	6042
76	499	5982
77	501	5924
78	505	5890
79	520	5982
80	531	6027
81	536	6003
82	545	6028
83	548	5976
84	562	6058
85	569	6048
86	570	5988
87	572	5932
88	575	5885
89	577	5837
90	580	5799
91	582	5750
92	585	5707
93	589	5685
94	597	5694
95	610	5747
96	626	5829
97	641	5905
98	654	5954
99	665	5993
100	676	6018
101	692	6096
102	709	6177
103	720	6208
104	730	6230
105	749	6323
106	766	6393
107	772	6378
108	777	6359
109	782	6329
110	790	6328
111	796	6316
112	806	6330
113	816	6348
114	844	6497
115	854	6514
116	865	6528
117	879	6574
118	899	6658
119	918	6738
120	950	6903
121	978	7042
122	988	7048
123	999	7059
124	1006	7044
125	1019	7069
126	1028	7068
127	1030	7021
128	1033	6974
129	1035	6928
130	1037	6881
131	1039	6836
132	1050	6847
133	1073	6938
134	1090	6988
135	1115	7084
136	1118	7045
137	1163	7265
138	1178	7301
139	1186	7286
140	1211	7382
141	1235	7464
142	1247	7474
143	1263	7510
144	1279	7544
145	1302	7617
146	1308	7594
147	1324	7623
148	1345	7684
149	1348	7643
150	1373	7720
151	1376	7679
152	1378	7633
153	1381	7588
154	1388	7570
155	1403	7595
156	1407	7555
157	1410	7514
158	1413	7474
159	1415	7432
160	1471	7669
161	1477	7641
162	1481	7608
163	1488	7586
164	1494	7565
165	1498	7530
166	1502	7492
167	1503	7447
168	1507	7413
169	1509	7371
170	1512	7334
171	1518	7307
172	1524	7285
173	1531	7270
174	1536	7243
175	1540	7210
176	1546	7190
177	1557	7191
178	1562	7167
179	1565	7131
180	1567	7091
181	1569	7052
182	1570	7013
183	1573	6977
184	1578	6952
